"","learn","x","agelfted","sex","datyear"
"7",7.3868425118401,45,35,"female",84
"11",10.1448937132068,53,18,"male",84
"12",7.52807367939012,49,15,"female",84
"14",9.4376161550985,56,15,"male",84
"15",8.51912735487182,57,16,"female",84
"26",7.2441131989411,39,16,"female",84
"27",9.58877955009421,42,13,"male",84
"28",8.32775520089306,52,15,"female",84
"32",7.91661789238482,47,16,"female",84
"39",7.83198240296684,62,18,"female",84
"42",8.74372303401887,53,15,"female",84
"48",8.77955745588373,49,15,"male",84
"49",7.31300706681311,59,15,"female",84
"50",8.7491807223225,53,16,"male",84
"52",9.44430516192198,48,15,"male",84
"56",9.03884005381381,48,16,"male",84
"57",7.73543335249969,50,15,"female",84
"58",8.60520406873895,46,14,"male",84
"59",7.9171865802344,50,16,"female",84
"63",8.5361091473961,63,15,"female",84
"64",8.5762165318657,58,15,"male",84
"66",7.13054681522131,38,14,"male",84
"72",9.21035238362279,57,15,"male",84
"84",9.39711861707975,55,17,"male",84
"87",9.1377352363439,53,15,"male",84
"93",8.91457775793674,53,16,"male",84
"112",7.81323583778849,41,14,"female",84
"115",8.65172408437384,46,14,"male",84
"119",6.72383244082121,58,14,"female",84
"127",9.211599539829,44,14,"male",84
"133",8.4143894088693,43,14,"female",84
"136",8.69617584694468,45,15,"male",84
"137",8.96061155815381,64,16,"male",84
"141",9.21739938280598,63,20,"male",84
"150",8.67863153729377,49,15,"male",84
"152",7.68652956792008,35,14,"male",84
"157",8.47552916768418,41,14,"female",84
"162",8.91016456116957,62,16,"male",84
"163",6.59030104819669,62,15,"female",84
"167",8.8290331250821,42,13,"male",84
"169",8.72817994426073,42,14,"male",84
"170",7.41697962138115,49,15,"female",84
"172",7.87835236882716,38,15,"female",84
"173",6.90771530015565,43,14,"female",84
"178",7.73770347974166,63,15,"female",84
"179",9.08704215563169,59,15,"male",84
"185",9.2779541158203,65,15,"male",84
"188",7.41697962138115,54,15,"female",84
"191",8.13146012274994,63,15,"male",84
"193",8.25625428271672,56,15,"male",84
"194",8.83017451882376,41,14,"male",84
"198",9.44787903349004,54,17,"male",84
"200",7.43248380791712,40,14,"female",84
"202",10.7790462923501,40,15,"male",84
"204",9.35599102199172,47,17,"male",84
"205",9.00474692969739,59,22,"female",84
"206",8.90974322660094,63,18,"male",84
"207",4.90290153991049,65,19,"female",84
"208",8.47628788043698,59,15,"male",84
"210",7.80478982212599,54,16,"female",84
"214",8.62407255304333,38,14,"male",84
"215",7.17011954344963,40,14,"female",84
"220",9.06641914233159,51,15,"male",84
"222",8.89288614119073,47,14,"male",84
"223",7.17808773172981,48,14,"female",84
"239",9.00621483847481,46,17,"female",84
"246",8.98819632099506,58,15,"male",84
"247",7.97837951437207,62,15,"female",84
"250",9.07139086803821,44,16,"male",84
"251",6.6288346799308,49,16,"female",84
"254",9.10493981645427,45,19,"male",84
"255",7.6008624807156,44,15,"female",84
"258",8.81877816903701,38,16,"male",84
"267",8.95693347280109,51,15,"male",84
"271",8.70483390968779,41,14,"male",84
"273",8.52595469708481,40,14,"male",84
"274",8.83858082465905,43,17,"female",84
"276",8.56150094735503,63,15,"male",84
"281",8.55641390456952,41,14,"male",84
"284",8.55751334128353,64,15,"male",84
"286",8.92832224209613,62,15,"male",84
"287",7.33019552650085,65,15,"female",84
"301",9.42494191902962,63,22,"male",84
"309",8.920779191356,64,15,"male",84
"311",9.20482519128807,59,15,"male",84
"313",8.71239144746114,44,16,"male",84
"314",7.99201167659786,46,14,"female",84
"315",9.23388894244253,54,15,"male",84
"316",8.64716826783798,58,15,"female",84
"329",8.80327398250104,62,15,"male",84
